gene,log2FC,p_value,mean_constant,mean_target,p_adjusted,regulation
KRT14,6.050756260705407,3.2141479316019554e-24,12.658058227028214,6.607301966322806,1.510649527852919e-22,Surexprimé dans BRCA-Normal
KRT5,5.182899415341717,3.7185963623424623e-23,13.182585451218868,7.999686035877151,8.738701451504786e-22,Surexprimé dans BRCA-Normal
SFRP1,4.480574013310777,4.280606154557335e-20,12.523405568346313,8.042831555035535,6.706282975473159e-19,Surexprimé dans BRCA-Normal
KRT17,4.206744951731482,3.8198594927574047e-19,12.516234650353,8.309489698621519,3.59066792319196e-18,Surexprimé dans BRCA-Normal
PGR,3.0041335075542284,4.519744095034524e-09,8.72048197008109,5.716348462526862,1.3276748279163914e-08,Surexprimé dans BRCA-Normal
FOXC1,2.4367619253208836,2.0833429096634804e-19,8.918007624861422,6.481245699540539,2.4479279188545896e-18,Surexprimé dans BRCA-Normal
ESR1,2.112115311340995,8.648391028225337e-06,10.141755623080178,8.029640311739183,1.3549145944219693e-05,Surexprimé dans BRCA-Normal
MYC,2.0005780116722445,3.9909960736287275e-14,11.44671436225785,9.446136350585606,3.126280257675837e-13,Surexprimé dans BRCA-Normal
BCL2,1.665683759888248,1.6328034947845223e-12,9.98156300719436,8.315879247306112,9.592720531859069e-12,Surexprimé dans BRCA-Normal
MAPT,1.4412892584473216,0.0009681352674821484,9.488676064351061,8.04738680590374,0.0013000673591903136,Surexprimé dans BRCA-Normal
EGFR,1.1863603677189385,0.00016257338990245616,9.28551330695405,8.099152939235111,0.0002247338036886894,Surexprimé dans BRCA-Normal
CDH3,1.1732797126889345,1.2056771897348888e-05,11.178196265687081,10.004916552998147,1.82796219088838e-05,Surexprimé dans BRCA-Normal
SLC39A6,0.551432106138142,0.011573196287286197,12.536229360989443,11.984797254851301,0.013947185269293623,Surexprimé dans BRCA-Normal
BAG1,0.3832136612049375,0.0028052924835930784,10.520779246690799,10.137565585485861,0.0036624651869131856,Non significatif
ACTR3B,0.2263509075020913,0.1911343509448056,7.670477243832435,7.444126336330344,0.20416623850922416,Non significatif
NAT1,0.06796533652788561,0.8331127418594518,7.901729000085173,7.833763663557288,0.8331127418594518,Non significatif
